DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,ALL,01/01/2012,99965
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,OLSEN1,01/01/2012,122540
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE4,9,P_RSNU,ACCALL,01/01/2012,178911
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,SURV,01/01/2012,19019
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,SURV,01/01/2012,35535
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC2,9,P_RSNU,OLSEN1,01/01/2012,26236
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,CIVDAC,01/01/2012,2676
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,DISAB1,01/01/2012,3812
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,DISAB1,01/01/2012,19166
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG17,9,P_RSNU,SURV,01/01/2012,66190
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE16,9,P_RSNU,ACCALL,01/01/2012,9272
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,TOTDIS,01/01/2012,13291
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC41,9,P_RSNU,WAR,01/01/2012,1960
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD42,9,P_RSNU,SURV,01/01/2012,46851
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE21,9,P_RSNU,TOTDIS,01/01/2012,38832
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE44,9,P_RSNU,TOTDIS,01/01/2012,27533
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD31,9,P_RSNU,CIVDAC,01/01/2012,3966
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC13,9,P_RSNU,COMP,01/01/2012,2459
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,WAR,01/01/2012,633
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG15,9,P_RSNU,WAR,01/01/2012,1206
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF41,9,P_RSNU,COMP,01/01/2012,7551
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,COMP,01/01/2012,8317
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,TOTDIS,01/01/2012,6938
